Rceipt;tangga;Net;Cust
ETNFAACFo009554;15/05/2024;12000;6B8BB5AB39008
ETNFAACFp009567;16/05/2024;26000;6B8969A450A36
ETNFAACFp009571;16/05/2024;16000;6B8000004B4A
ETNFAACFp009585;16/05/2024;13000;6B8000007489
ETNFAACFp009586;16/05/2024;13000;6B85750786575
ETNFAACFp009593;16/05/2024;18000;6B895339548948
ETNFAACFq009644;17/05/2024;25000;6B85A054396B9
ETNFAACFq009652;17/05/2024;13000;6B85B48A775A0
ETNFAACFq009654;17/05/2024;23000;6B8ABB04394B8
ETNFAACFq009673;17/05/2024;14000;6B800000A830
ETNFAACFq009694;17/05/2024;13000;6B8A8A8865348
ETNFAACFq009719;17/05/2024;16000;6B859430557B0
ETNFAACFr009730;18/05/2024;28000;6B8AB50844465
ETNFAACFr009741;18/05/2024;78000;6B8000004837
ETNFAACFs009802;19/05/2024;26000;6B8A35A333303
ETNFAACFs009805;19/05/2024;16000;6B8000004B4A
ETNFAACFs009825;19/05/2024;13000;6B83A5B964433
ETNFAACFs009866;19/05/2024;12000;6B8000008695
ETNFAACFs009879;19/05/2024;38000;6B8BA3B583030
ETNFAACFs009883;19/05/2024;12000;6B85349866B88
ETNFAACFs009894;19/05/2024;29000;6B8A3A6688A54
ETNFAACFt009902;20/05/2024;13000;6B80000097B7
ETNFAACFt009903;20/05/2024;32000;6B895A07B0BBA
ETNFAACFt009924;20/05/2024;16000;6B8000004B4A
ETNFAACFt009925;20/05/2024;13000;6B8000006948
ETNFAACFt009936;20/05/2024;21000;6B83A5933906B
ETNFAACFt009948;20/05/2024;21000;6B8000003939
ETNFAACFt009970;20/05/2024;21000;6B878A60B6778
ETNFAACFu010054;21/05/2024;23000;6B857540876A4
ETNFAACFv010078;22/05/2024;16000;6B8000004B4A
ETNFAACFv010096;22/05/2024;14000;6B8B350305563
ETNFAACFv010103;22/05/2024;39000;6B8538764333B
ETNFAACFv010107;22/05/2024;12000;6B8000005B98
ETNFAACFv010115;22/05/2024;16000;6B8967546B0B6
ETNFAACFv010127;22/05/2024;12000;6B800000AB03
ETNFAACFw010171;23/05/2024;21000;6B800000568B
ETNFAACFw010181;23/05/2024;29000;6B8A3A6688A54
ETNFAACFw010196;23/05/2024;12000;6B857534AAA97
ETNFAACFw010206;23/05/2024;14000;6B859430557B0
ETNFAACFx010220;24/05/2024;21000;6B8000000B08
ETNFAACFx010239;24/05/2024;13000;6B8BBA0079504
ETNFAACFx010268;24/05/2024;11000;6B8AA5005005
ETNFAACFx010291;24/05/2024;24000;6B8BBA3005A30
ETNFAACFy010301;25/05/2024;31000;6B8AB50844465
ETNFAACFy010310;25/05/2024;29000;6B85B46443B60
ETNFAACFy010315;25/05/2024;12000;6B8000004AB9
ETNFAACFy010321;25/05/2024;28000;6B8B350305563
ETNFAACFy010322;25/05/2024;14000;6B85348484B4A
ETNFAACFy010326;25/05/2024;29000;6B85B45B6B7B8
ETNFAACFy010353;25/05/2024;37000;6B8B357595B58
ETNFAACFz010366;26/05/2024;67000;6B85BBBBB570B
ETNFAACFz010367;26/05/2024;26000;6B895639433B8A
ETNFAACFz010374;26/05/2024;11000;6B8000006353
ETNFAACFz010389;26/05/2024;23000;6B8BB5596B7A8
ETNFAACFz010418;26/05/2024;25000;6B8BA57BA6A50
ETNFAACFz010430;26/05/2024;22000;6B85348933A8A
ETNFAACFz010432;26/05/2024;11000;6B8BB55470997
ETNFAACFz010443;26/05/2024;22000;6B8A348905435
ETNFAACF0010459;27/05/2024;16000;6B8BA556369A9
ETNFAACF0010478;27/05/2024;26000;6B8ABB04394B8
ETNFAACF0010482;27/05/2024;15000;6B85754600B08
ETNFAACF0010483;27/05/2024;13000;6B85754600B08
ETNFAACF1010542;28/05/2024;13000;6B8000009895
ETNFAACF1010543;28/05/2024;16000;6B85A75A9644A
ETNFAACF1010552;28/05/2024;13000;6B878B7684786
ETNFAACF1010559;28/05/2024;22000;6B85387B97B54
ETNFAACF1010584;28/05/2024;12000;6B8575344B45B
ETNFAACF2010598;29/05/2024;12000;6B80000036B8
ETNFAACF2010608;29/05/2024;16000;6B8A35A3888A4
ETNFAACF2010611;29/05/2024;83000;6B8000005533
ETNFAACF2010620;29/05/2024;13000;6B800000B9B7
ETNFAACF2010641;29/05/2024;39000;6B85705979B7A
ETNFAACF3010663;30/05/2024;13000;6B85A75A9644A
ETNFAACF3010685;30/05/2024;14000;6B8575B77B869
ETNFAACF4010733;31/05/2024;14000;6B8000004B4A
ETNFAACF4010756;31/05/2024;12000;6B8AB566A6677
ETNFAACF4010799;31/05/2024;14000;6B8A5B864900A
YMTLAACFa003355;01/05/2024;32000;6B8000008B08
YMTLAACFa003358;01/05/2024;37000;6B8000006339
YMTLAACFa003360;01/05/2024;12000;6B8A34B4B3A68
YMTLAACFa003377;01/05/2024;25000;6B08A35AAAA4AA
YMTLAACFa003385;01/05/2024;15000;6B878BA8B3003
YMTLAACFa003401;01/05/2024;15000;6B8AB9B394A8B
YMTLAACFa003403;01/05/2024;14000;6B8000004679
YMTLAACFa003405;01/05/2024;11000;6B8000008598
YMTLAACFb003432;02/05/2024;11000;6B8967767A6A4
YMTLAACFb003454;02/05/2024;12000;6B800000BB8A
YMTLAACFb003470;02/05/2024;28000;6B895334AB7A84
YMTLAACFb003472;02/05/2024;26000;6B8000000848
YMTLAACFb003474;02/05/2024;14000;6B800000005B
YMTLAACFb003488;02/05/2024;74000;6B8BB505BAA56
YMTLAACFb003491;02/05/2024;24000;6B87790008444
YMTLAACFc003531;03/05/2024;64000;6B8BA5B505059
YMTLAACFc003554;03/05/2024;14000;6B85B50599B37
YMTLAACFc003555;03/05/2024;36000;6B8BB50A80055
YMTLAACFc003575;03/05/2024;14000;6B800000A3A5
YMTLAACFc003589;03/05/2024;14000;6B8000008848
YMTLAACFd003620;04/05/2024;34000;6B0877A5566AAB
YMTLAACFd003634;04/05/2024;24000;6B8BB3A874848
YMTLAACFd003638;04/05/2024;16000;6B800000483A
YMTLAACFd003641;04/05/2024;11000;6B890000709B
YMTLAACFd003660;04/05/2024;13000;6B800000B933
YMTLAACFe003693;05/05/2024;24000;6B80000045A4
YMTLAACFe003703;05/05/2024;13000;6B8000008848
YMTLAACFe003716;05/05/2024;14000;6B8000005A86
YMTLAACFe003722;05/05/2024;28000;6B8A35A0A5599
YMTLAACFe003729;05/05/2024;27000;6B8000003A07
YMTLAACFe003742;05/05/2024;52000;6B8000005BA4
YMTLAACFe003748;05/05/2024;13000;6B898B753359
YMTLAACFe003761;05/05/2024;33000;6B878A4870537
YMTLAACFf003771;06/05/2024;25000;6B800000BBB3
YMTLAACFf003777;06/05/2024;14000;6B858BB978097
YMTLAACFf003779;06/05/2024;15000;6B80000008B4
YMTLAACFf003783;06/05/2024;14000;6B87803B6B90A
YMTLAACFf003785;06/05/2024;45000;6B80000004B4
YMTLAACFf003801;06/05/2024;13000;6B878550A3036
YMTLAACFf003817;06/05/2024;13000;6B8BA54A7BAAB
YMTLAACFg003849;07/05/2024;38000;6B85A744703B7
YMTLAACFg003853;07/05/2024;16000;6B896B448ABA9
YMTLAACFg003878;07/05/2024;13000;6B8000004455
YMTLAACFg003884;07/05/2024;16000;6B8BA746B6BB6
YMTLAACFg003906;07/05/2024;11000;6B87790008444
YMTLAACFg003907;07/05/2024;13000;6B8000009A6B
YMTLAACFh003939;08/05/2024;27000;6B8BA54B6A348
YMTLAACFh003959;08/05/2024;32000;6B8000005838
YMTLAACFh003962;08/05/2024;14000;6B8A35B933373
YMTLAACFh003974;08/05/2024;13000;6B80000007A9
YMTLAACFh003980;08/05/2024;14000;6B8BB53749388
YMTLAACFh003985;08/05/2024;15000;6B8000005B06
YMTLAACFh003986;08/05/2024;15000;6B8000005B06
YMTLAACFh003993;08/05/2024;13000;6B80000009BA
YMTLAACFh003995;08/05/2024;26000;6B87889BBB5A8
YMTLAACFh004003;08/05/2024;11000;6B8BB5AB9589A
YMTLAACFi004007;09/05/2024;14000;6B800000B055
YMTLAACFi004010;09/05/2024;15000;6B8A356B39BBA
YMTLAACFi004026;09/05/2024;13000;6B8000004396
YMTLAACFi004036;09/05/2024;18000;6B895605947999
YMTLAACFi004044;09/05/2024;25000;6B800000A3A5
YMTLAACFj004072;10/05/2024;48000;6B8000005609
YMTLAACFk004142;11/05/2024;11000;6B8000009373
YMTLAACFk004149;11/05/2024;11000;6B800000B583
YMTLAACFk004164;11/05/2024;11000;6B85753A9A380
YMTLAACFk004193;11/05/2024;11000;6B8000007075
YMTLAACFk004197;11/05/2024;29000;6B8BB55483A6B
YMTLAACFl004220;12/05/2024;13000;6B800000304B
YMTLAACFl004252;12/05/2024;13000;6B85348483800
YMTLAACFm004261;13/05/2024;45000;6B8967767A6A4
YMTLAACFm004263;13/05/2024;28000;6B8ABA3A00056
YMTLAACFm004272;13/05/2024;23000;6B8BA584ABB60
YMTLAACFm004285;13/05/2024;26000;6B8BA54BB9650
YMTLAACFm004289;13/05/2024;13000;6B83A4795BB08
YMTLAACFm004300;13/05/2024;25000;6B838434B4488
YMTLAACFm004301;13/05/2024;32000;6B8BA9A70688A
YMTLAACFm004310;13/05/2024;12000;6B83A33AAB49A
YMTLAACFn004336;14/05/2024;13000;6B800000A899
YMTLAACFn004337;14/05/2024;13000;6B8000008866
YMTLAACFn004346;14/05/2024;42000;6B8A3366038A0
YMTLAACFn004361;14/05/2024;43000;6B8000005BA4
YMTLAACFn004362;14/05/2024;57000;6B8BB5A558383
YMTLAACFn004392;14/05/2024;47000;6B8000005B06
YMTLAACFn004394;14/05/2024;14000;6B8A356B39BBA
YMTLAACFo004405;15/05/2024;34000;6B88759759B3
YMTLAACFo004433;15/05/2024;14000;6B8BA59B78AAB
YMTLAACFo004454;15/05/2024;12000;6B8BA48A3BB8B
YMTLAACFo004474;15/05/2024;27000;6B8000003344
YMTLAACFp004504;16/05/2024;26000;6B8000008598
YMTLAACFp004508;16/05/2024;16000;6B80000096B3
YMTLAACFq004552;17/05/2024;76000;6B8000003A06
YMTLAACFq004557;17/05/2024;14000;6B8000005838
YMTLAACFq004570;17/05/2024;13000;6B8BB38067799
YMTLAACFq004579;17/05/2024;13000;6B800000A563
YMTLAACFq004600;17/05/2024;26000;6B8000004637
YMTLAACFq004605;17/05/2024;22000;6B800000B583
YMTLAACFq004620;17/05/2024;11000;6B8000008848
YMTLAACFr004630;18/05/2024;14000;6B85763A3300A
YMTLAACFr004652;18/05/2024;11000;6B80000056BB
YMTLAACFr004671;18/05/2024;28000;6B8AB579BB687
YMTLAACFr004673;18/05/2024;28000;6B877406BB9A5
YMTLAACFr004683;18/05/2024;14000;6B800000AB0A
YMTLAACFr004697;18/05/2024;16000;6B856548B4B58
YMTLAACFr004710;18/05/2024;29000;6B887044746A6
YMTLAACFs004714;19/05/2024;35000;6B83A4A9B5B8B
YMTLAACFs004724;19/05/2024;27000;6B85B48A9B995
YMTLAACFs004737;19/05/2024;16000;6B896B448ABA9
YMTLAACFs004747;19/05/2024;13000;6B878A4584BBA
YMTLAACFs004755;19/05/2024;24000;6B8BA573890B7
YMTLAACFs004771;19/05/2024;14000;6B8000003544
YMTLAACFt004780;20/05/2024;21000;6B8967767A6A4
YMTLAACFt004781;20/05/2024;15000;6B8A356B39BBA
YMTLAACFt004784;20/05/2024;11000;6B83A55797306
YMTLAACFt004785;20/05/2024;14000;6B85763A3300A
YMTLAACFt004788;20/05/2024;25000;6B8ABA3A00056
YMTLAACFt004789;20/05/2024;17000;6B8784AB5A3B5
YMTLAACFt004807;20/05/2024;13000;6B8000000533
YMTLAACFt004808;20/05/2024;27000;6B85754769B68
YMTLAACFt004814;20/05/2024;13000;6B8000004A43
YMTLAACFt004816;20/05/2024;13000;6B878550A3036
YMTLAACFt004817;20/05/2024;20000;6B858B8608446
YMTLAACFt004819;20/05/2024;15000;6B85668948535
YMTLAACFt004834;20/05/2024;21000;6B8000009A06
YMTLAACFt004851;20/05/2024;21000;6B896B035BB38
YMTLAACFt004852;20/05/2024;14000;6B800000A809
YMTLAACFu004866;21/05/2024;13000;6B8000007465
YMTLAACFu004893;21/05/2024;39000;6B85A744703B7
YMTLAACFu004903;21/05/2024;38000;6B8000005BA4
YMTLAACFv004921;22/05/2024;15000;6B8000000A54
YMTLAACFv004924;22/05/2024;15000;6B8A356B39BBA
YMTLAACFv004925;22/05/2024;39000;6B8BAA75A050A
YMTLAACFv004929;22/05/2024;39000;6B8BA585B8B88
YMTLAACFv004934;22/05/2024;34000;6B8969B790338
YMTLAACFv004943;22/05/2024;25000;6B800000055B
YMTLAACFw004992;23/05/2024;11000;6B8BB5AB9589A
YMTLAACFw005002;23/05/2024;13000;6B8000007306
YMTLAACFw005006;23/05/2024;26000;6B85704A75AB8
YMTLAACFw005015;23/05/2024;13000;6B8BA54BB9650
YMTLAACFw005028;23/05/2024;16000;6B898B753359
YMTLAACFw005034;23/05/2024;24000;6B8A0000B444
YMTLAACFw005044;23/05/2024;21000;6B8000009445
YMTLAACFw005045;23/05/2024;22000;6B85A744703B7
YMTLAACFw005046;23/05/2024;14000;6B8575B970497
YMTLAACFx005059;24/05/2024;21000;6B8000007306
YMTLAACFx005065;24/05/2024;21000;6B8BB4A53A579
YMTLAACFx005067;24/05/2024;47000;6B8BB56038553
YMTLAACFx005072;24/05/2024;62000;6B8000003033
YMTLAACFx005076;24/05/2024;77000;6B8BA5B505059
YMTLAACFx005078;24/05/2024;12000;6B853486888B0
YMTLAACFx005093;24/05/2024;13000;6B8000008A35
YMTLAACFx005099;24/05/2024;25000;6B8A34B4B3A68
YMTLAACFx005113;24/05/2024;12000;6B8AB55AA44B4
YMTLAACFx005125;24/05/2024;25000;6B85B5A9857A7
YMTLAACFy005130;25/05/2024;25000;6B8ABA3A00056
YMTLAACFy005136;25/05/2024;15000;6B8000009948
YMTLAACFy005171;25/05/2024;11000;6B85753A9A380
YMTLAACFy005178;25/05/2024;22000;6B8000008598
YMTLAACFy005189;25/05/2024;12000;6B8000003B38
YMTLAACFz005245;26/05/2024;13000;6B8000008B08
YMTLAACFz005265;26/05/2024;16000;6B898B753359
YMTLAACFz005281;26/05/2024;40000;6B083830B49345
YMTLAACF0005307;27/05/2024;15000;6B83A4A543864
YMTLAACF0005322;27/05/2024;39000;6B8969A7677B3
YMTLAACF0005337;27/05/2024;12000;6B80000075A9
YMTLAACF0005340;27/05/2024;16000;6B87839494083
YMTLAACF0005348;27/05/2024;14000;6B800000553A
YMTLAACF1005381;28/05/2024;15000;6B800000A6B9
YMTLAACF1005387;28/05/2024;14000;6B8575B970497
YMTLAACF1005389;28/05/2024;52000;6B8A64550898
YMTLAACF1005391;28/05/2024;26000;6B8A64550898
YMTLAACF1005401;28/05/2024;11000;6B8A349469899
YMTLAACF1005402;28/05/2024;16000;6B8000006B30
YMTLAACF1005424;28/05/2024;12000;6B80000096B3
YMTLAACF1005433;28/05/2024;12000;6B856548B4B58
YMTLAACF2005469;29/05/2024;12000;6B8976465055
YMTLAACF3005487;30/05/2024;26000;6B8000000850
YMTLAACF3005489;30/05/2024;14000;6B8A356B39BBA
YMTLAACF3005503;30/05/2024;37000;6B08BBAAB95907
YMTLAACF3005508;30/05/2024;15000;6B8000004A43
YMTLAACF3005521;30/05/2024;24000;6B87790008444
YMTLAACF3005522;30/05/2024;14000;6B8000009A06
YMTLAACF3005524;30/05/2024;23000;6B8000005786
YMTLAACF3005539;30/05/2024;11000;6B8000003007
YMTLAACF4005550;31/05/2024;25000;6B8A34B4B3A68
YMTLAACF4005551;31/05/2024;14000;6B8000005A86
YMTLAACF4005555;31/05/2024;13000;6B8000005BB5
YMTLAACF4005558;31/05/2024;24000;6B8969B790338
YMTLAACF4005582;31/05/2024;39000;6B0895700AB3B56
YMTLAACF4005601;31/05/2024;25000;6B800000A3A5
YMTLAACF4005609;31/05/2024;41000;6B83A59683383
JWVHAACFa013253;01/05/2024;24000;6B878A4986009
JWVHAACFa013258;01/05/2024;13000;6B8539A873A89
JWVHAACFa013262;01/05/2024;44000;6B800000A003
JWVHAACFa013268;01/05/2024;11000;6B8000006B68
JWVHAACFa013276;01/05/2024;48000;6B85BA569AB39
JWVHAACFa013279;01/05/2024;16000;6B80000034B8
JWVHAACFa013297;01/05/2024;26000;6B878A597934B
JWVHAACFa013300;01/05/2024;26000;6B8000006B04
JWVHAACFa013302;01/05/2024;40000;6B800000BB34
JWVHAACFa013306;01/05/2024;38000;6B8000007475
JWVHAACFa013309;01/05/2024;11000;6B800000BA5A
JWVHAACFa013312;01/05/2024;26000;6B8AB50A6587A
JWVHAACFa013313;01/05/2024;13000;6B85705898764
JWVHAACFa013324;01/05/2024;25000;6B800000A3A5
JWVHAACFa013326;01/05/2024;13000;6B8000009094
JWVHAACFa013335;01/05/2024;26000;6B899AA39355
JWVHAACFa013349;01/05/2024;16000;6B83866B7A839
JWVHAACFa013375;01/05/2024;13000;6B8575A494A93
JWVHAACFa013389;01/05/2024;12000;6B8A34870544A
JWVHAACFa013398;01/05/2024;25000;6B85959994003
JWVHAACFb013408;02/05/2024;13000;6B8BAB6378B97
JWVHAACFb013410;02/05/2024;24000;6B8384B539336
JWVHAACFb013421;02/05/2024;13000;6B8000004B8B
JWVHAACFb013436;02/05/2024;14000;6B8BA5B088889
JWVHAACFb013439;02/05/2024;28000;6B8AB54340875
JWVHAACFb013457;02/05/2024;15000;6B896A6636A67
JWVHAACFb013458;02/05/2024;25000;6B8000008654
JWVHAACFb013460;02/05/2024;22000;6B88B0BB036599
JWVHAACFb013473;02/05/2024;13000;6B878A60B40B0
JWVHAACFb013476;02/05/2024;11000;6B800000B077
JWVHAACFb013477;02/05/2024;16000;6B8000000AB0
JWVHAACFb013481;02/05/2024;10000;6B85345980500
JWVHAACFb013484;02/05/2024;28000;6B800000A7B5
JWVHAACFb013500;02/05/2024;39000;6B8BBA6045070
JWVHAACFb013508;02/05/2024;32000;6B89685060607
JWVHAACFb013519;02/05/2024;26000;6B8985A5B566
JWVHAACFb013520;02/05/2024;16000;6B800000AB86
JWVHAACFb013524;02/05/2024;13000;6B89563490AB63
JWVHAACFb013525;02/05/2024;13000;6B8969969B795
JWVHAACFb013553;02/05/2024;13000;6B80000000AA
JWVHAACFb013557;02/05/2024;11000;6B8BA530A50A5
JWVHAACFb013562;02/05/2024;21000;6B8A346067093
JWVHAACFb013563;02/05/2024;28000;6B87877B38007
JWVHAACFc013577;03/05/2024;11000;6B80000005B8
JWVHAACFc013580;03/05/2024;16000;6B8BA5AB85B3A
JWVHAACFc013592;03/05/2024;33000;6B80000063AA
JWVHAACFc013593;03/05/2024;22000;6B8000008654
JWVHAACFc013596;03/05/2024;73000;6B8BB55A4B6A7
JWVHAACFc013613;03/05/2024;15000;6B8000003834
JWVHAACFc013623;03/05/2024;35000;6B8BA58B839A4
JWVHAACFc013630;03/05/2024;12000;6B8000007366
JWVHAACFc013635;03/05/2024;26000;6B8575B5664B4
JWVHAACFc013671;03/05/2024;16000;6B85B45006969
JWVHAACFc013688;03/05/2024;24000;6B80000046B5
JWVHAACFd013697;04/05/2024;34000;6B8000006876
JWVHAACFd013710;04/05/2024;16000;6B85B48A39994
JWVHAACFd013713;04/05/2024;30000;6B87704548775
JWVHAACFd013752;04/05/2024;28000;6B800000380B
JWVHAACFd013754;04/05/2024;11000;6B8A808A858A7
JWVHAACFd013757;04/05/2024;13000;6B878A60B40B0
JWVHAACFd013758;04/05/2024;11000;6B8000003535
JWVHAACFd013766;04/05/2024;45000;6B8000007447
JWVHAACFd013796;04/05/2024;24000;6B85959994003
JWVHAACFd013811;04/05/2024;11000;6B878A43A3A6A
JWVHAACFd013827;04/05/2024;16000;6B8000009690
JWVHAACFd013832;04/05/2024;52000;6B8953895780B0
JWVHAACFd013837;04/05/2024;16000;6B8A349074475
JWVHAACFe013848;05/05/2024;52000;6B8000007867
JWVHAACFe013855;05/05/2024;22000;6B80000046B5
JWVHAACFe013857;05/05/2024;11000;6B8BA534B0938
JWVHAACFe013859;05/05/2024;28000;6B85B48836988
JWVHAACFe013866;05/05/2024;12000;6B8AA5AAA993
JWVHAACFe013867;05/05/2024;17000;6B8AB50A6587A
JWVHAACFe013872;05/05/2024;22000;6B878A70AB8BB
JWVHAACFe013874;05/05/2024;22000;6B800000BA88
JWVHAACFe013881;05/05/2024;11000;6B8000000B33
JWVHAACFe013893;05/05/2024;11000;6B88B4B9AB645
JWVHAACFe013902;05/05/2024;26000;6B800000BB94
JWVHAACFe013915;05/05/2024;43000;6B8A5456B833B
JWVHAACFe013917;05/05/2024;28000;6B800000933B
JWVHAACFe013930;05/05/2024;16000;6B8000003663
JWVHAACFe013931;05/05/2024;15000;6B8A5B5999359
JWVHAACFe013932;05/05/2024;11000;6B8000003663
JWVHAACFe013934;05/05/2024;16000;6B878AA475078
JWVHAACFe013941;05/05/2024;18000;6B8000004350
JWVHAACFe013947;05/05/2024;13000;6B878A60B40B0
JWVHAACFe013963;05/05/2024;11000;6B8000006658
JWVHAACFe013964;05/05/2024;27000;6B8AA50006A
JWVHAACFe013984;05/05/2024;22000;6B8000009088
JWVHAACFe013988;05/05/2024;24000;6B8BA4900500A
JWVHAACFe013994;05/05/2024;11000;6B878A4986009
JWVHAACFe013998;05/05/2024;13000;6B8000003738
JWVHAACFf014019;06/05/2024;15000;6B8AB54340875
JWVHAACFf014026;06/05/2024;13000;6B8000009478
JWVHAACFf014041;06/05/2024;22000;6B878A5B8BB9B
JWVHAACFf014048;06/05/2024;15000;6B8A350B70077
JWVHAACFf014053;06/05/2024;11000;6B8000007949
JWVHAACFf014072;06/05/2024;25000;6B88B458808B3
JWVHAACFf014074;06/05/2024;14000;6B8A5B8633B7A
JWVHAACFf014077;06/05/2024;14000;6B85B48545594
JWVHAACFf014078;06/05/2024;24000;6B85643350635
JWVHAACFf014079;06/05/2024;28000;6B8A5456B833B
JWVHAACFf014083;06/05/2024;11000;6B878A4986009
JWVHAACFf014085;06/05/2024;13000;6B8000009478
JWVHAACFf014090;06/05/2024;13000;6B8000009478
JWVHAACFf014091;06/05/2024;11000;6B8000009094
JWVHAACFf014095;06/05/2024;11000;6B8000009AB3
JWVHAACFf014105;06/05/2024;22000;6B80000043B9
JWVHAACFf014114;06/05/2024;42000;6B85348488809
JWVHAACFf014125;06/05/2024;22000;6B8A34653507A
JWVHAACFf014130;06/05/2024;27000;6B8BB55479999
JWVHAACFf014131;06/05/2024;22000;6B8BA530A50A5
JWVHAACFf014160;06/05/2024;40000;6B85959994003
JWVHAACFf014168;06/05/2024;58000;6B800000359B
JWVHAACFf014176;06/05/2024;11000;6B800000688B
JWVHAACFg014195;07/05/2024;29000;6B8000000964
JWVHAACFg014202;07/05/2024;46000;6B800000758B
JWVHAACFg014205;07/05/2024;44000;6B8A346B70A30
JWVHAACFg014206;07/05/2024;23000;6B8A9A6B89008
JWVHAACFg014212;07/05/2024;25000;6B8BBB565B6B6
JWVHAACFg014213;07/05/2024;11000;6B8000007949
JWVHAACFg014240;07/05/2024;11000;6B853479766AA
